filename,size_bytes,sha256,duplicate_group,evidence_status
Edu(2).png,1043539,75b3389040c3369179a0df571f601c7b9c257ef736593b4f1cc9eb5a7abf142d,,ORIGINAL_SOURCE_COPY
Edusphere UK Website (1)(1).docx,57500,24ee9eb886cf2458269761150351e3b6fe5161a30a8686aee73515d01a884c4e,Edusphere UK Website (1)(1).docx | Edusphere UK Website(1)(1).docx | Edusphere UK Website(2).docx,ORIGINAL_SOURCE_COPY
Edusphere UK Website(1)(1).docx,57500,24ee9eb886cf2458269761150351e3b6fe5161a30a8686aee73515d01a884c4e,Edusphere UK Website (1)(1).docx | Edusphere UK Website(1)(1).docx | Edusphere UK Website(2).docx,ORIGINAL_SOURCE_COPY
Edusphere UK Website(2).docx,57500,24ee9eb886cf2458269761150351e3b6fe5161a30a8686aee73515d01a884c4e,Edusphere UK Website (1)(1).docx | Edusphere UK Website(1)(1).docx | Edusphere UK Website(2).docx,ORIGINAL_SOURCE_COPY
EduSphere(2).png,534284,538244b6c759d648d0deacb3b757eb8d493085aa1335d268ff4fe0b33f26a520,,ORIGINAL_SOURCE_COPY
Edusphere_Application_Architecture_Tasks_Testing_UX_Specification(1).docx,1165343,3354954cdc0f5497cd4584e08abc2513136d05265c532a8717487e8b15ed33a4,,ORIGINAL_SOURCE_COPY
Edusphere_Application_Architecture_Tasks_Testing_UX_Specification(1).pdf,990048,dedc5b64c092c5308c6abe30beb98107eb39b5c9e281fd94992e55b2a78ec318,,ORIGINAL_SOURCE_COPY
Edusphere_Master_Backlog_RBAC_API_Test_Catalogue(1).xlsx,244226,7c6c955bf7d1b9a72244da7a11670a4d18b211ee93c0c267226eca1971571c26,,ORIGINAL_SOURCE_COPY
Pasted text (2)(1).txt,17696,7e21072185c2b08149f3ffec7df93864475701577529cd30ccc9fa5bd9a0e6fe,,ORIGINAL_SOURCE_COPY
Pasted text (2)(2).txt,76368,1fcfac3990680c579f0c55f64be27ca5ead74de07dd855eac33580133d9351be,Pasted text (2)(2).txt | Pasted text (3).txt,ORIGINAL_SOURCE_COPY
Pasted text (3).txt,76368,1fcfac3990680c579f0c55f64be27ca5ead74de07dd855eac33580133d9351be,Pasted text (2)(2).txt | Pasted text (3).txt,ORIGINAL_SOURCE_COPY
PSC Quotation _03(1).pdf,122405,e36a762c2418c0438b016d1717ed577c1dc247340ea6d8999041ccb6197311dd,,ORIGINAL_SOURCE_COPY
Revised Tech stack for the proposal(1).docx,45861,dffba06f432631ba036088c183a2102441971ff36384d9ac49f465892e787717,,ORIGINAL_SOURCE_COPY
ParakeetAI Transcript 12-09-2026.txt,133284,543d58d78ba94664a7b85aa9ffa43721d298206923f27fdf7672d25b6bfd4e66,,ORIGINAL_SOURCE_COPY
EduSphere Portal - Consolidated Review & Requirements.pdf,386475,db0a7f0b243f45fe5063d46f39db5920f4c4903eb02f3cb8aa79c6774064e0a0,,ORIGINAL_SOURCE_COPY
SCHOOL BROUCHER (5).pdf,14573101,ad734a0c04d96443506ca741658440abafb4eddc47dd3ccba55426b3f9ecbc03,,ORIGINAL_SOURCE_COPY
Agent CRM Functionalities.md,8322,39c06fe99611862c49f132325b1755a9e3d30e3caafaada33c5331aee4d599a5,,ORIGINAL_SOURCE_COPY
BDM Functionalities.md,19334,259881cace8283139cc1f66f785c02cbc1324466f9981c08a71e1b757517676f,,ORIGINAL_SOURCE_COPY
Management Functionalities.md,19276,cc0c8f56a9a6a975aeb4d97afbb4eaaf43c1bcf4ce16973fb25885e43b201398,,ORIGINAL_SOURCE_COPY
Recruiter Functionalities.md,22808,112a68a2721474d5c29be870d811e40ffe18cc1ba196bef82e881119f8128d13,,ORIGINAL_SOURCE_COPY
School CRM.md,29328,60977c8b8faf4aa5f76cf381398924b6ef9e9c1f12f4f7e6c1cddcd30db2c33e,,ORIGINAL_SOURCE_COPY
Telecaller Functionalities.md,11750,24f743e18e5b6c69b6293d318661aae7bd8e77b37653e82780019cff80434392,,ORIGINAL_SOURCE_COPY
University Partnership CRM.md,18730,adc4a8cf504685625373959c7c79ba6803fac3e55c8097cc79ba648e74b9862d,,ORIGINAL_SOURCE_COPY
